T [months],Strategic Partners & Reserve,Community & Ecosystem,Foundation,Core Contributors,Backers
0,12500000,370000000,250000000,0,759000000
3,0,0,0,0,0
6,12500000,0,0,0,0
9,12500000,0,0,0,0
12,12500000,407000000,0,300000000,759000000
15,12500000,0,0,150000000,0
18,12500000,370000000,0,150000000,782000000
21,12500000,37000000,0,150000000,0
24,12500000,37000000,100000000,150000000,0
27,12500000,37000000,0,150000000,0
30,12500000,37000000,0,150000000,0
33,12500000,18500000,0,140000000,0
36,12500000,18500000,25000000,140000000,0
39,12500000,18500000,0,140000000,0
42,12500000,18500000,0,140000000,0
45,12500000,18500000,0,120000000,0
48,12500000,18500000,25000000,120000000,0
51,12500000,18500000,25000000,0,0
54,12500000,18500000,25000000,0,0
57,12500000,18500000,25000000,0,0
60,12500000,18500000,25000000,0,0
63,12500000,18500000,25000000,0,0
66,12500000,18500000,25000000,0,0
69,12500000,18500000,25000000,0,0
72,12500000,18500000,25000000,0,0
75,12500000,18500000,25000000,0,0
78,12500000,18500000,25000000,0,0
81,12500000,18500000,25000000,0,0
84,12500000,18500000,25000000,0,0
87,12500000,18500000,25000000,0,0
90,12500000,18500000,25000000,0,0
93,12500000,18500000,25000000,0,0
96,12500000,18500000,25000000,0,0
99,12500000,18500000,25000000,0,0
102,12500000,18500000,25000000,0,0
105,12500000,18500000,25000000,0,0
108,12500000,18500000,25000000,0,0
111,12500000,18500000,25000000,0,0
114,12500000,18500000,25000000,0,0
117,12500000,18500000,25000000,0,0
120,12500000,18500000,25000000,0,0
